DATE,LNU05026642
1994-01-01,2120
1994-02-01,1951
1994-03-01,1832
1994-04-01,1770
1994-05-01,1659
1994-06-01,1777
1994-07-01,1844
1994-08-01,1726
1994-09-01,1858
1994-10-01,1663
1994-11-01,1674
1994-12-01,1810
1995-01-01,1783
1995-02-01,1721
1995-03-01,1732
1995-04-01,1390
1995-05-01,1504
1995-06-01,1574
1995-07-01,1568
1995-08-01,1510
1995-09-01,1583
1995-10-01,1587
1995-11-01,1542
1995-12-01,1619
1996-01-01,1737
1996-02-01,1838
1996-03-01,1584
1996-04-01,1516
1996-05-01,1475
1996-06-01,1684
1996-07-01,1490
1996-08-01,1436
1996-09-01,1518
1996-10-01,1447
1996-11-01,1503
1996-12-01,1463
1997-01-01,1615
1997-02-01,1546
1997-03-01,1471
1997-04-01,1480
1997-05-01,1431
1997-06-01,1428
1997-07-01,1281
1997-08-01,1298
1997-09-01,1363
1997-10-01,1284
1997-11-01,1337
1997-12-01,1453
1998-01-01,1479
1998-02-01,1478
1998-03-01,1426
1998-04-01,1278
1998-05-01,1213
1998-06-01,1213
1998-07-01,1328
1998-08-01,1251
1998-09-01,1377
1998-10-01,1242
1998-11-01,1240
1998-12-01,1196
1999-01-01,1358
1999-02-01,1279
1999-03-01,1245
1999-04-01,1257
1999-05-01,1148
1999-06-01,1228
1999-07-01,1133
1999-08-01,1134
1999-09-01,1172
1999-10-01,1184
1999-11-01,1128
1999-12-01,1142
2000-01-01,1207
2000-02-01,1281
2000-03-01,1219
2000-04-01,1216
2000-05-01,1113
2000-06-01,1142
2000-07-01,1172
2000-08-01,1097
2000-09-01,1166
2000-10-01,1044
2000-11-01,1100
2000-12-01,1125
2001-01-01,1295
2001-02-01,1337
2001-03-01,1109
2001-04-01,1131
2001-05-01,1157
2001-06-01,1170
2001-07-01,1232
2001-08-01,1364
2001-09-01,1335
2001-10-01,1398
2001-11-01,1331
2001-12-01,1330
2002-01-01,1532
2002-02-01,1423
2002-03-01,1358
2002-04-01,1397
2002-05-01,1467
2002-06-01,1380
2002-07-01,1507
2002-08-01,1456
2002-09-01,1501
2002-10-01,1416
2002-11-01,1401
2002-12-01,1432
2003-01-01,1598
2003-02-01,1590
2003-03-01,1577
2003-04-01,1399
2003-05-01,1428
2003-06-01,1468
2003-07-01,1566
2003-08-01,1665
2003-09-01,1544
2003-10-01,1586
2003-11-01,1473
2003-12-01,1483
2004-01-01,1670
2004-02-01,1691
2004-03-01,1643
2004-04-01,1526
2004-05-01,1533
2004-06-01,1492
2004-07-01,1557
2004-08-01,1587
2004-09-01,1561
2004-10-01,1647
2004-11-01,1517
2004-12-01,1463
2005-01-01,1804
2005-02-01,1673
2005-03-01,1588
2005-04-01,1511
2005-05-01,1428
2005-06-01,1583
2005-07-01,1516
2005-08-01,1583
2005-09-01,1438
2005-10-01,1414
2005-11-01,1415
2005-12-01,1589
2006-01-01,1644
2006-02-01,1471
2006-03-01,1468
2006-04-01,1310
2006-05-01,1388
2006-06-01,1584
2006-07-01,1522
2006-08-01,1592
2006-09-01,1299
2006-10-01,1478
2006-11-01,1366
2006-12-01,1252
2007-01-01,1577
2007-02-01,1451
2007-03-01,1385
2007-04-01,1391
2007-05-01,1406
2007-06-01,1454
2007-07-01,1376
2007-08-01,1365
2007-09-01,1268
2007-10-01,1364
2007-11-01,1363
2007-12-01,1344
2008-01-01,1729
2008-02-01,1585
2008-03-01,1352
2008-04-01,1414
2008-05-01,1416
2008-06-01,1558
2008-07-01,1573
2008-08-01,1640
2008-09-01,1604
2008-10-01,1637
2008-11-01,1947
2008-12-01,1908
2009-01-01,2130
2009-02-01,2051
2009-03-01,2106
2009-04-01,2089
2009-05-01,2210
2009-06-01,2176
2009-07-01,2282
2009-08-01,2270
2009-09-01,2219
2009-10-01,2373
2009-11-01,2323
2009-12-01,2486
2010-01-01,2539
2010-02-01,2527
2010-03-01,2255
2010-04-01,2432
2010-05-01,2223
2010-06-01,2591
2010-07-01,2622
2010-08-01,2370
2010-09-01,2548
2010-10-01,2602
2010-11-01,2531
2010-12-01,2609
2011-01-01,2800
2011-02-01,2730
2011-03-01,2434
2011-04-01,2466
2011-05-01,2206
2011-06-01,2680
2011-07-01,2785
2011-08-01,2575
2011-09-01,2511
2011-10-01,2555
2011-11-01,2591
2011-12-01,2540
2012-01-01,2809
2012-02-01,2608
2012-03-01,2352
2012-04-01,2363
2012-05-01,2423
2012-06-01,2483
2012-07-01,2529
2012-08-01,2561
2012-09-01,2517
2012-10-01,2433
2012-11-01,2505
2012-12-01,2614
2013-01-01,2443
2013-02-01,2588
2013-03-01,2326
2013-04-01,2347
2013-05-01,2164
2013-06-01,2582
2013-07-01,2414
2013-08-01,2342
2013-09-01,2302
2013-10-01,2283
2013-11-01,2096
2013-12-01,2427
2014-01-01,2592
2014-02-01,2303
2014-03-01,2168
2014-04-01,2160
2014-05-01,2130
2014-06-01,2028
2014-07-01,2178
2014-08-01,2141
2014-09-01,2226
2014-10-01,2192
2014-11-01,2109
2014-12-01,2260
2015-01-01,2234
2015-02-01,2159
2015-03-01,2055
2015-04-01,2115
2015-05-01,1862
2015-06-01,1914
2015-07-01,1927
2015-08-01,1812
2015-09-01,1921
2015-10-01,1916
2015-11-01,1717
2015-12-01,1833
2016-01-01,2089
2016-02-01,1803
2016-03-01,1720
2016-04-01,1715
2016-05-01,1713
2016-06-01,1779
2016-07-01,1950
2016-08-01,1713
