DATE,LNU05026642
2016-09-01,1844
2016-10-01,1700
2016-11-01,1932
2016-12-01,1684
2017-01-01,1752
2017-02-01,1723
2017-03-01,1595
2017-04-01,1534
2017-05-01,1475
2017-06-01,1582
2017-07-01,1629
2017-08-01,1548
2017-09-01,1569
2017-10-01,1535
2017-11-01,1481
2017-12-01,1623
2018-01-01,1653
2018-02-01,1602
2018-03-01,1454
2018-04-01,1362
2018-05-01,1455
2018-06-01,1437
2018-07-01,1498
2018-08-01,1443
2018-09-01,1577
2018-10-01,1491
2018-11-01,1678
2018-12-01,1556
2019-01-01,1614
2019-02-01,1424
2019-03-01,1357
2019-04-01,1417
2019-05-01,1395
2019-06-01,1571
2019-07-01,1478
2019-08-01,1564
2019-09-01,1299
2019-10-01,1229
2019-11-01,1246
2019-12-01,1246
2020-01-01,1464
2020-02-01,1494
2020-03-01,1380
2020-04-01,2211
2020-05-01,2292
2020-06-01,2486
2020-07-01,2027
2020-08-01,2083
2020-09-01,1921
2020-10-01,1923
2020-11-01,2068
2020-12-01,2197
2021-01-01,2053
2021-02-01,1942
2021-03-01,1783
2021-04-01,1763
2021-05-01,1872
2021-06-01,1856
2021-07-01,1923
2021-08-01,1558
2021-09-01,1732
2021-10-01,1638
2021-11-01,1594
2021-12-01,1671
2022-01-01,1623
2022-02-01,1496
2022-03-01,1281
2022-04-01,1570
2022-05-01,1417
2022-06-01,1541
2022-07-01,1614
2022-08-01,1412
2022-09-01,1619
2022-10-01,1469
2022-11-01,1501
2022-12-01,1260
2023-01-01,1434
2023-02-01,1420
2023-03-01,1190
2023-04-01,1461
2023-05-01,1477
2023-06-01,1479
2023-07-01,1467
2023-08-01,1500
2023-09-01,1492
2023-10-01,1391
2023-11-01,1625
2023-12-01,1567
2024-01-01,1757
2024-02-01,1559
2024-03-01,1439
2024-04-01,1519
2024-05-01,1481
2024-06-01,1548
