Source:,figure5.m,
Break date,Low end of 95% confidence interval for break date,High end of 95% confidence interval for break date
1961.00,1960.75,1962.75
1971.75,1970.75,1973.00
1989.00,1988.75,1990.75
1999.25,1999.00,2000.75
2009.50,2008.75,2010.00
