"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
1967.17,3330.266881,4.36
1967.25,3364.05151,4.38
1967.33,3335.489105,4.34
1967.42,3328.510918,4.31
1967.50,3265.26113,4.22
1967.58,3361.917843,4.33
1967.67,3323.086994,4.27
1967.75,3397.226044,4.34
1967.83,3368.184253,4.31
1967.92,3395.618353,4.33
1968.00,3470.860011,4.47
1968.08,3427.715978,4.38
1968.17,3501.193908,4.47
1968.25,3559.701598,4.55
1968.33,3571.366419,4.53
1968.42,3569.104449,4.51
1968.50,3664.536166,4.64
1968.58,3730.009656,4.73
1968.67,3805.129294,4.83
1968.75,3997.442905,5.07
1968.83,3997.793247,5.05
1968.92,3937.158546,4.95
1969.00,4101.85318,5.16
1969.08,4097.849851,5.12
1969.17,4130.532057,5.16
1969.25,4170.635601,5.20
1969.33,4177.344607,5.21
1969.42,4028.087767,4.99
1969.50,4004.740745,4.95
1969.58,3928.596517,4.84
1969.67,4162.938982,5.12
1969.75,4098.05414,5.03
1969.83,4002.885688,4.92
1969.92,3863.144843,4.73
1970.00,3698.164204,4.51
1970.08,3660.269387,4.46
1970.17,3462.202215,4.20
1970.25,3364.752379,4.07
1970.33,3156.588329,3.83
1970.42,3095.628983,3.75
1970.50,2988.667035,3.61
1970.58,2957.264732,3.57
1970.67,2929.232556,3.53
1970.75,2725.061297,3.27
1970.83,2718.515907,3.25
1970.92,2722.485589,3.25
1971.00,2619.828873,3.12
1971.08,2689.392955,3.22
1971.17,2688.492233,3.22
1971.25,2684.907096,3.20
1971.33,2722.061295,3.24
1971.42,2831.984235,3.38
1971.50,2791.063904,3.31
1971.58,2817.737974,3.33
1971.67,2788.338447,3.29
1971.75,2824.360273,3.33
1971.83,2891.258796,3.38
1971.92,2928.569031,3.42
1972.00,3067.805347,3.57
1972.08,3133.499211,3.64
1972.17,3202.478341,3.70
1972.25,3234.615161,3.73
1972.33,3290.044461,3.79
1972.42,3329.68156,3.83
1972.50,3399.367476,3.90
1972.58,3527.216102,4.03
1972.67,3570.648542,4.09
1972.75,3736.444304,4.27
1972.83,3805.532696,4.34
1972.92,4129.696598,4.70
1973.00,4237.678143,4.84
1973.08,4231.148653,4.79
1973.17,4270.653934,4.81
1973.25,4196.634685,4.71
1973.33,4244.051227,4.77
