,Source:,figure6.m,,,,,,,,,,
Year,Quarter,Beveridge elasticty,Low end of 95% confidence interval for Beveridge elasticity,High end of 95% confidence interval  for Beveridge elasticity,,,,,,,,
1982,1,0.838,0.617,1.058,,,,,,,,
1982,2,0.838,0.617,1.058,,,,,,,,
1982,3,0.838,0.617,1.058,,,,,,,,
1982,4,0.838,0.617,1.058,,,,,,,,
1983,1,0.838,0.617,1.058,,,,,,,,
1983,2,0.838,0.617,1.058,,,,,,,,
1983,3,0.838,0.617,1.058,,,,,,,,
1983,4,0.838,0.617,1.058,,,,,,,,
1984,1,0.838,0.617,1.058,,,,,,,,
1984,2,0.838,0.617,1.058,,,,,,,,
1984,3,0.838,0.617,1.058,,,,,,,,
1984,4,0.838,0.617,1.058,,,,,,,,
1985,1,0.838,0.617,1.058,,,,,,,,
1985,2,0.838,0.617,1.058,,,,,,,,
1985,3,0.838,0.617,1.058,,,,,,,,
1985,4,0.838,0.617,1.058,,,,,,,,
1986,1,0.838,0.617,1.058,,,,,,,,
1986,2,0.838,0.617,1.058,,,,,,,,
1986,3,0.838,0.617,1.058,,,,,,,,
1986,4,0.838,0.617,1.058,,,,,,,,
1987,1,0.838,0.617,1.058,,,,,,,,
1987,2,0.838,0.617,1.058,,,,,,,,
1987,3,0.838,0.617,1.058,,,,,,,,
1987,4,0.838,0.617,1.058,,,,,,,,
1988,1,0.838,0.617,1.058,,,,,,,,
1988,2,0.838,0.617,1.058,,,,,,,,
1988,3,0.838,0.617,1.058,,,,,,,,
1988,4,0.838,0.617,1.058,,,,,,,,
1989,1,0.838,0.617,1.058,,,,,,,,
1989,2,0.939,0.649,1.229,,,,,,,,
1989,3,0.939,0.649,1.229,,,,,,,,
1989,4,0.939,0.649,1.229,,,,,,,,
1990,1,0.939,0.649,1.229,,,,,,,,
1990,2,0.939,0.649,1.229,,,,,,,,
1990,3,0.939,0.649,1.229,,,,,,,,
1990,4,0.939,0.649,1.229,,,,,,,,
1991,1,0.939,0.649,1.229,,,,,,,,
1991,2,0.939,0.649,1.229,,,,,,,,
1991,3,0.939,0.649,1.229,,,,,,,,
1991,4,0.939,0.649,1.229,,,,,,,,
1992,1,0.939,0.649,1.229,,,,,,,,
1992,2,0.939,0.649,1.229,,,,,,,,
1992,3,0.939,0.649,1.229,,,,,,,,
1992,4,0.939,0.649,1.229,,,,,,,,
1993,1,0.939,0.649,1.229,,,,,,,,
1993,2,0.939,0.649,1.229,,,,,,,,
1993,3,0.939,0.649,1.229,,,,,,,,
1993,4,0.939,0.649,1.229,,,,,,,,
1994,1,0.939,0.649,1.229,,,,,,,,
1994,2,0.939,0.649,1.229,,,,,,,,
1994,3,0.939,0.649,1.229,,,,,,,,
1994,4,0.939,0.649,1.229,,,,,,,,
1995,1,0.939,0.649,1.229,,,,,,,,
1995,2,0.939,0.649,1.229,,,,,,,,
1995,3,0.939,0.649,1.229,,,,,,,,
1995,4,0.939,0.649,1.229,,,,,,,,
1996,1,0.939,0.649,1.229,,,,,,,,
1996,2,0.939,0.649,1.229,,,,,,,,
1996,3,0.939,0.649,1.229,,,,,,,,
1996,4,0.939,0.649,1.229,,,,,,,,
1997,1,0.939,0.649,1.229,,,,,,,,
1997,2,0.939,0.649,1.229,,,,,,,,
1997,3,0.939,0.649,1.229,,,,,,,,
1997,4,0.939,0.649,1.229,,,,,,,,
1998,1,0.939,0.649,1.229,,,,,,,,
1998,2,0.939,0.649,1.229,,,,,,,,
1998,3,0.939,0.649,1.229,,,,,,,,
1998,4,0.939,0.649,1.229,,,,,,,,
1999,1,0.939,0.649,1.229,,,,,,,,
1999,2,0.939,0.649,1.229,,,,,,,,
1999,3,0.999,0.886,1.111,,,,,,,,
1999,4,0.999,0.886,1.111,,,,,,,,
2000,1,0.999,0.886,1.111,,,,,,,,
2000,2,0.999,0.886,1.111,,,,,,,,
2000,3,0.999,0.886,1.111,,,,,,,,
2000,4,0.999,0.886,1.111,,,,,,,,
2001,1,0.999,0.886,1.111,,,,,,,,
2001,2,0.999,0.886,1.111,,,,,,,,
2001,3,0.999,0.886,1.111,,,,,,,,
2001,4,0.999,0.886,1.111,,,,,,,,
2002,1,0.999,0.886,1.111,,,,,,,,
2002,2,0.999,0.886,1.111,,,,,,,,
2002,3,0.999,0.886,1.111,,,,,,,,
2002,4,0.999,0.886,1.111,,,,,,,,
2003,1,0.999,0.886,1.111,,,,,,,,
2003,2,0.999,0.886,1.111,,,,,,,,
2003,3,0.999,0.886,1.111,,,,,,,,
2003,4,0.999,0.886,1.111,,,,,,,,
2004,1,0.999,0.886,1.111,,,,,,,,
2004,2,0.999,0.886,1.111,,,,,,,,
2004,3,0.999,0.886,1.111,,,,,,,,
2004,4,0.999,0.886,1.111,,,,,,,,
2005,1,0.999,0.886,1.111,,,,,,,,
2005,2,0.999,0.886,1.111,,,,,,,,
2005,3,0.999,0.886,1.111,,,,,,,,
2005,4,0.999,0.886,1.111,,,,,,,,
2006,1,0.999,0.886,1.111,,,,,,,,
2006,2,0.999,0.886,1.111,,,,,,,,
2006,3,0.999,0.886,1.111,,,,,,,,
2006,4,0.999,0.886,1.111,,,,,,,,
2007,1,0.999,0.886,1.111,,,,,,,,
2007,2,0.999,0.886,1.111,,,,,,,,
2007,3,0.999,0.886,1.111,,,,,,,,
2007,4,0.999,0.886,1.111,,,,,,,,
2008,1,0.999,0.886,1.111,,,,,,,,
2008,2,0.999,0.886,1.111,,,,,,,,
2008,3,0.999,0.886,1.111,,,,,,,,
2008,4,0.999,0.886,1.111,,,,,,,,
2009,1,0.999,0.886,1.111,,,,,,,,
2009,2,0.999,0.886,1.111,,,,,,,,
2009,3,0.999,0.886,1.111,,,,,,,,
2009,4,0.836,0.725,0.948,,,,,,,,
2010,1,0.836,0.725,0.948,,,,,,,,
2010,2,0.836,0.725,0.948,,,,,,,,
2010,3,0.836,0.725,0.948,,,,,,,,
2010,4,0.836,0.725,0.948,,,,,,,,
2011,1,0.836,0.725,0.948,,,,,,,,
2011,2,0.836,0.725,0.948,,,,,,,,
2011,3,0.836,0.725,0.948,,,,,,,,
2011,4,0.836,0.725,0.948,,,,,,,,
2012,1,0.836,0.725,0.948,,,,,,,,
2012,2,0.836,0.725,0.948,,,,,,,,
2012,3,0.836,0.725,0.948,,,,,,,,
2012,4,0.836,0.725,0.948,,,,,,,,
2013,1,0.836,0.725,0.948,,,,,,,,
2013,2,0.836,0.725,0.948,,,,,,,,
2013,3,0.836,0.725,0.948,,,,,,,,
2013,4,0.836,0.725,0.948,,,,,,,,
2014,1,0.836,0.725,0.948,,,,,,,,
2014,2,0.836,0.725,0.948,,,,,,,,
2014,3,0.836,0.725,0.948,,,,,,,,
2014,4,0.836,0.725,0.948,,,,,,,,
2015,1,0.836,0.725,0.948,,,,,,,,
2015,2,0.836,0.725,0.948,,,,,,,,
2015,3,0.836,0.725,0.948,,,,,,,,
2015,4,0.836,0.725,0.948,,,,,,,,
2016,1,0.836,0.725,0.948,,,,,,,,
2016,2,0.836,0.725,0.948,,,,,,,,
2016,3,0.836,0.725,0.948,,,,,,,,
2016,4,0.836,0.725,0.948,,,,,,,,
2017,1,0.836,0.725,0.948,,,,,,,,
2017,2,0.836,0.725,0.948,,,,,,,,
2017,3,0.836,0.725,0.948,,,,,,,,
2017,4,0.836,0.725,0.948,,,,,,,,
2018,1,0.836,0.725,0.948,,,,,,,,
2018,2,0.836,0.725,0.948,,,,,,,,
2018,3,0.836,0.725,0.948,,,,,,,,
2018,4,0.836,0.725,0.948,,,,,,,,
2019,1,0.836,0.725,0.948,,,,,,,,
2019,2,0.836,0.725,0.948,,,,,,,,
2019,3,0.836,0.725,0.948,,,,,,,,
2019,4,0.836,0.725,0.948,,,,,,,,
