Timeline,FERU,NRU,NRUST,NAIRU
2010,0.0415,0.0485,0.0565,0.0651
2010.25,0.0429,0.0484,0.0569,0.0641
2010.5,0.0427,0.0484,0.0573,0.0634
2010.75,0.0439,0.0483,0.0577,0.0641
2011,0.0429,0.0482,0.058,0.0615
2011.25,0.0437,0.0481,0.0582,0.0618
2011.5,0.0451,0.048,0.0583,0.0611
2011.75,0.0452,0.0479,0.0585,0.0586
2012,0.0449,0.0478,0.0582,0.0567
2012.25,0.0453,0.0477,0.0578,0.0563
2012.5,0.0445,0.0476,0.0571,0.055
2012.75,0.0439,0.0475,0.0566,0.0535
2013,0.0444,0.0474,0.0552,0.0533
2013.25,0.0444,0.0473,0.0537,0.0521
2013.5,0.0433,0.0473,0.0527,0.0507
2013.75,0.0431,0.0472,0.0515,0.0495
2014,0.0425,0.0471,0.0505,0.0484
2014.25,0.0427,0.047,0.0496,0.0462
2014.5,0.0443,0.047,0.0489,0.0462
2014.75,0.0424,0.0469,0.0484,0.0441
2015,0.0433,0.0468,0.0481,0.0439
2015.25,0.0434,0.0468,0.0478,0.0434
2015.5,0.0426,0.0467,0.0476,0.0415
2015.75,0.0425,0.0466,0.0473,0.0418
2016,0.0426,0.0466,0.0471,0.0416
2016.25,0.0428,0.0465,0.0469,0.0424
2016.5,0.0422,0.0464,0.0467,0.0426
2016.75,0.0417,0.0464,0.0466,0.0425
2017,0.0408,0.0463,0.0464,0.0421
2017.25,0.0401,0.0462,0.0463,0.042
2017.5,0.0411,0.0461,0.0462,0.0432
2017.75,0.0406,0.046,0.0462,0.043
2018,0.0403,0.046,0.0461,0.0443
2018.25,0.0409,0.0459,0.046,0.0453
2018.5,0.0409,0.0458,0.046,0.0459
2018.75,0.0418,0.0457,0.0459,0.0478
2019,0.0418,0.0456,0.0456,0.0492
2019.25,0.0403,0.0455,0.0455,0.0487
2019.5,0.0396,0.0454,0.0454,0.0499
2019.75,0.0394,0.0452,0.0452,0.0489
2020,0.0403,0.0451,0.0451,0.06
2020.25,0.0665,0.045,0.045,0.0648
2020.5,0.059,0.0449,0.0449,0.0633
2020.75,0.0531,0.0448,0.0448,0.0678
2021,0.0531,0.0447,0,0.0682
2021.25,0.0583,0.0446,0,0.0712
2021.5,0.058,0.0446,0,0.0711
2021.75,0.0535,0.0445,0,0.0701
2022,0.0516,0.0445,0,0.0706
2022.25,0.0511,0.0444,0,0.0709
2022.5,0.0485,0.0444,0,0.0706
2022.75,0.0481,0.0443,0,0.0701
2023,0.0468,0.0443,0,0.0688
2023.25,0.0453,0.0443,0,0.068
2023.5,0.0448,0.0442,0,0.0672
2023.75,0.0447,0.0442,0,0.0656
2024,0.0447,0.0442,0,0
2024.25,0.0441,0.0441,0,0
