Year,Unemployment rate,FERU,Unemployment gap
2020,0.0383,0.0403,-0.002
2020.25,0.13,0.0665,0.0635
2020.5,0.088,0.059,0.029
2020.75,0.0673,0.0531,0.0142
2021,0.0623,0.0531,0.0092
2021.25,0.0593,0.0583,0.001
2021.5,0.0507,0.058,-0.0073
2021.75,0.0417,0.0535,-0.0118
2022,0.038,0.0516,-0.0136
2022.25,0.0363,0.0511,-0.0148
2022.5,0.0353,0.0485,-0.0132
2022.75,0.0357,0.0481,-0.0124
2023,0.035,0.0468,-0.0118
2023.25,0.0357,0.0453,-0.0097
2023.5,0.037,0.0448,-0.0078
2023.75,0.0373,0.0447,-0.0074
2024,0.038,0.0447,-0.0067
2024.25,0.04,0.0441,-0.0041
